,dataset_name,model_name,mean_test_accuracy,exp_params,tot_experiment,x_type
72,Cora,GNN,0.1192,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 1e-06, 'epochs': 25}",10,x
73,Cora,GNN,0.1476,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.0005, 'epochs': 25}",10,x
74,Cora,GNN,0.12639999999999998,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.0001, 'epochs': 25}",10,x
75,Cora,GNN,0.15299999999999997,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.001, 'epochs': 25}",10,x
76,Cora,GNN,0.1682,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.0005, 'weight_decay': 1e-06, 'epochs': 25}",10,x
77,Cora,GNN,0.1702,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.0005, 'weight_decay': 0.0005, 'epochs': 25}",10,x
78,Cora,GNN,0.122,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.0005, 'weight_decay': 0.0001, 'epochs': 25}",10,x
79,Cora,GNN,0.097,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'epochs': 25}",10,x
80,Cora,GNN,0.1358,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 1e-06, 'epochs': 25}",10,x
81,Cora,GNN,0.15299999999999997,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0005, 'epochs': 25}",10,x
82,Cora,GNN,0.13140000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 25}",10,x
83,Cora,GNN,0.1342,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.001, 'epochs': 25}",10,x
84,Cora,GNN,0.14500000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.005, 'weight_decay': 1e-06, 'epochs': 25}",10,x
85,Cora,GNN,0.1066,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.005, 'weight_decay': 0.0005, 'epochs': 25}",10,x
86,Cora,GNN,0.1334,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.005, 'weight_decay': 0.0001, 'epochs': 25}",10,x
87,Cora,GNN,0.15599999999999997,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.005, 'weight_decay': 0.001, 'epochs': 25}",10,x
88,Cora,GNN,0.1306,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.01, 'weight_decay': 1e-06, 'epochs': 25}",10,x
89,Cora,GNN,0.13799999999999998,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.01, 'weight_decay': 0.0005, 'epochs': 25}",10,x
90,Cora,GNN,0.16199999999999998,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.01, 'weight_decay': 0.0001, 'epochs': 25}",10,x
91,Cora,GNN,0.18060000000000004,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.01, 'weight_decay': 0.001, 'epochs': 25}",10,x
92,Cora,GNN,0.19519999999999998,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.05, 'weight_decay': 1e-06, 'epochs': 25}",10,x
93,Cora,GNN,0.21000000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.05, 'weight_decay': 0.0005, 'epochs': 25}",10,x
94,Cora,GNN,0.19260000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.05, 'weight_decay': 0.0001, 'epochs': 25}",10,x
95,Cora,GNN,0.1708,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.1, 'lr': 0.05, 'weight_decay': 0.001, 'epochs': 25}",10,x
96,Cora,GNN,0.1486,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 1e-06, 'epochs': 25}",10,x
97,Cora,GNN,0.1346,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.0005, 'epochs': 25}",10,x
98,Cora,GNN,0.14240000000000003,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.0001, 'epochs': 25}",10,x
99,Cora,GNN,0.1646,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.001, 'epochs': 25}",10,x
100,Cora,GNN,0.1092,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.0005, 'weight_decay': 1e-06, 'epochs': 25}",10,x
101,Cora,GNN,0.1066,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.0005, 'weight_decay': 0.0005, 'epochs': 25}",10,x
102,Cora,GNN,0.1294,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.0005, 'weight_decay': 0.0001, 'epochs': 25}",10,x
103,Cora,GNN,0.1758,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.0005, 'weight_decay': 0.001, 'epochs': 25}",10,x
104,Cora,GNN,0.1538,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 1e-06, 'epochs': 25}",10,x
105,Cora,GNN,0.15760000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.0005, 'epochs': 25}",10,x
106,Cora,GNN,0.19239999999999996,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 25}",10,x
107,Cora,GNN,0.1736,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.001, 'epochs': 25}",10,x
108,Cora,GNN,0.13879999999999998,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.005, 'weight_decay': 1e-06, 'epochs': 25}",10,x
109,Cora,GNN,0.1616,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.005, 'weight_decay': 0.0005, 'epochs': 25}",10,x
110,Cora,GNN,0.13199999999999998,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.005, 'weight_decay': 0.0001, 'epochs': 25}",10,x
111,Cora,GNN,0.1444,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.005, 'weight_decay': 0.001, 'epochs': 25}",10,x
112,Cora,GNN,0.16920000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.01, 'weight_decay': 1e-06, 'epochs': 25}",10,x
113,Cora,GNN,0.1492,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.01, 'weight_decay': 0.0005, 'epochs': 25}",10,x
114,Cora,GNN,0.149,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.01, 'weight_decay': 0.0001, 'epochs': 25}",10,x
115,Cora,GNN,0.1346,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.01, 'weight_decay': 0.001, 'epochs': 25}",10,x
116,Cora,GNN,0.1738,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.05, 'weight_decay': 1e-06, 'epochs': 25}",10,x
117,Cora,GNN,0.19720000000000001,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.05, 'weight_decay': 0.0005, 'epochs': 25}",10,x
118,Cora,GNN,0.1972,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.05, 'weight_decay': 0.0001, 'epochs': 25}",10,x
119,Cora,GNN,0.178,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.2, 'lr': 0.05, 'weight_decay': 0.001, 'epochs': 25}",10,x
120,Cora,GNN,0.175,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.3, 'lr': 0.0001, 'weight_decay': 1e-06, 'epochs': 25}",10,x
121,Cora,GNN,0.1568,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.3, 'lr': 0.0001, 'weight_decay': 0.0005, 'epochs': 25}",10,x
122,Cora,GNN,0.1708,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.3, 'lr': 0.0001, 'weight_decay': 0.0001, 'epochs': 25}",10,x
123,Cora,GNN,0.1784,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.3, 'lr': 0.0001, 'weight_decay': 0.001, 'epochs': 25}",10,x
124,Cora,GNN,0.1262,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.3, 'lr': 0.0005, 'weight_decay': 1e-06, 'epochs': 25}",10,x
125,Cora,GNN,0.16799999999999998,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 3, 'dropout': 0.3, 'lr': 0.0005, 'weight_decay': 0.0005, 'epochs': 25}",10,x
